idx,formula,sgn,xx,zz
0,GaP,216,77.03705584101448,77.03705584101446
1,InSb,216,18.99417004166459,18.99417004166459
2,GaSb,216,34.83059179405361,34.83059179405361
3,AlSb,216,109.05069058297448,109.05069058297448
4,BP,216,367.7803555652072,367.7803555652072
5,AlP,216,68.51174247086401,68.51174247086401
6,SeZn,216,21.02498634476989,21.024986344769896
8,TeZn,216,18.704395726321223,18.704395726321223
9,InP,216,101.90273983042144,101.90273983042144
10,SZn,216,42.435481641049286,42.435481641049286
11,AsIn,216,25.825921508089213,25.825921508089216
12,AlAs,216,97.49424502930323,97.49424502930323
13,AsGa,216,41.441001568379846,41.44100156837985
14,CSi,186,418.11143016597623,386.3292073256318
15,BeO,186,346.68066693075366,371.5323469315323
16,CdTe,186,5.4994992679385195,7.914131912982086
17,CdS,186,16.312146678032544,19.20411402551543
18,AgI,186,0.9980746593342791,1.2764041623650677
19,OZn,186,45.854964034107745,69.84468686275679
20,BrCu,186,2.3688781609738903,4.51824462983791
21,CuI,186,3.571046509879162,4.67096103449585
22,ClCu,186,1.168070931305787,2.1808104150965444
23,GaN,186,206.12661063231778,210.3890012719842
24,AlN,186,274.56448070007764,248.91219064589666
