idx,formula,sgn,xx,zz
0,GaP,216,96.49911495788267,96.49911495788265
1,InSb,216,15.980878262875805,15.980878262875805
2,GaSb,216,37.18005390387105,37.18005390387105
3,AlSb,216,70.85390744376366,70.85390744376366
4,BP,216,370.9687057713777,370.9687057713777
5,AlP,216,54.398646275125046,54.398646275125046
6,SeZn,216,20.817939829956703,20.817939829956703
8,TeZn,216,29.031700458683776,29.03170045868377
9,InP,216,91.53594328728875,91.53594328728875
10,SZn,216,53.5992298731202,53.599229873120194
11,AsIn,216,24.64302296138128,24.64302296138128
12,AlAs,216,66.20346192264854,66.20346192264854
13,AsGa,216,31.909791262319008,31.909791262319008
14,CSi,186,366.2195049012177,351.5501634687681
15,BeO,186,271.5548992302741,297.0384343219441
16,CdTe,186,5.7447854359410835,7.666541479057697
17,CdS,186,15.644365781594058,20.890222703767392
18,AgI,186,1.9273842243365757,2.35839311077279
19,OZn,186,44.33260300182873,68.00928983485446
20,BrCu,186,3.6082370014091913,5.676694024750723
21,CuI,186,6.752092372432353,8.67456144242309
22,ClCu,186,1.348003834627137,2.569034255841403
23,GaN,186,189.87425123974435,193.26190162782405
24,AlN,186,252.14066903473238,234.07593469619664
