idx,name,spg_num
0,PbTe,225
1,CdO,225
2,BrK,225
3,FLi,225
4,BaTe,225
5,AgBr,225
6,ClRb,225
7,PbSe,225
8,IRb,225
9,HK,225
10,BrLi,225
11,CsF,225
12,CaSe,225
13,MgO,225
14,ClLi,225
15,ILi,225
16,ClK,225
17,FNa,225
18,BrRb,225
19,OSr,225
20,BaSe,225
21,FK,225
22,CaO,225
23,IK,225
24,AgCl,225
25,BrNa,225
26,PbS,225
27,HLi,225
28,HNa,225
29,BaS,225
30,CaTe,225
31,BaO,225
32,ClNa,225
33,INa,225
34,HRb,225
35,CaS,225
36,FRb,225
37,CSi,186
38,BeS,186
39,CdSe,186
40,BeO,186
41,InN,186
42,GaP,186
43,CdTe,186
44,AsB,186
45,CdS,186
46,HCu,186
47,MgTe,186
48,BeTe,186
49,BeSe,186
50,InSb,186
51,GaSb,186
52,AlSb,186
53,AgI,186
54,OZn,186
55,BP,186
56,AlP,186
57,BrCu,186
58,SeZn,186
59,CuI,186
60,BN,186
61,TeZn,186
62,ClCu,186
63,InP,186
64,SZn,186
65,AsIn,186
66,GaN,186
67,AlN,186
68,AlAs,186
69,AsGa,186
70,CSi,216
71,BeS,216
72,CdSe,216
73,BeO,216
74,InN,216
75,GaP,216
76,CdTe,216
77,AsB,216
78,CdS,216
79,HCu,216
80,MgTe,216
81,BeTe,216
82,BeSe,216
83,InSb,216
84,GaSb,216
85,AlSb,216
86,AgI,216
87,OZn,216
88,BP,216
89,AlP,216
90,BrCu,216
91,SeZn,216
92,CuI,216
93,BN,216
94,TeZn,216
95,ClCu,216
96,InP,216
97,SZn,216
98,AsIn,216
99,GaN,216
100,AlN,216
101,AlAs,216
102,AsGa,216
