name,spg_num,exp,togo,omni-omat24,omni-matpes_r2scan,omni-mp_r2scan,omni-pet_mad
SiC,186,490,340.3333333,431.3171566,407.5173559,397.3951151,361.3297244
BeO,186,370,284.3333333,276.8668051,354.9645603,338.4090692,280.0494109
CdS,186,16,16.83333333,11.4656578,17.27613579,16.17252954,17.39298476
AgI,186,1.03,1.513333333,1.515078061,1.09085116,0.986085205,2.071053853
ZnO,186,60,45.86666667,49.69600325,53.85153831,51.60799816,52.22483195
CuBr,186,1.25,2.116666667,2.193057856,3.085333651,2.499492366,4.297722676
CuI,186,1.68,6.163333333,6.807939293,3.937684685,4.83482235,7.392915396
CuCl,186,0.84,1.233333333,1.135718188,1.505650759,1.251393249,1.755013975
GaN,186,210,165.3333333,181.7755172,207.5474075,183.7714141,191.003468
AlN,186,350,218.3333333,239.2200659,266.0137173,240.9227058,246.1190909
GaP,216,100,85.5,71.56170879,77.03705584,73.3736861,96.49911496
InSb,216,20,12.6,10.6456137,18.99417004,17.14414383,15.98087826
GaSb,216,40,31.8,29.31580576,34.83059179,35.06054151,37.1800539
AlSb,216,56,75.1,74.12495627,109.0506906,99.24440261,70.85390744
BP,216,350,396,345.1608143,367.7803556,334.6917855,370.9687058
AlP,216,90,83,60.02236525,68.51174247,60.88445724,54.39864628
ZnSe,216,19,14.9,16.03998495,21.02498634,19.79227989,20.81793983
ZnTe,216,18,18.4,16.90117853,18.70439573,18.85889829,29.03170046
InP,216,93,73.8,76.65978464,101.9027398,93.6794021,91.53594329
ZnSe,216,27,31,27.39578013,42.43548164,40.96411326,53.59922987
InAs,216,30,20.4,21.04199487,25.82592151,24.12068942,24.64302296
AlAs,216,98,85.6,75.45574967,97.49424503,94.61990283,66.20346192
GaAs,216,45,31,29.12588645,41.44100157,39.02707018,31.90979126
